,row_name,col_name,R2
299,K0_H2O,K0_CO2 log10,0.011682029608186161
480,Qst_H2O,P_CH4 log10,0.01155487194901989
292,K0_H2O,Qst_CO2,0.01153308812463364
378,P_CH4,LCD log10,0.01145879033649563
509,PV (cc/g) log10,K0_H2O log10,0.011020378424634873
446,Qst_CO2,K0_CH4 log10,0.01066069152820047
321,DC_CH4,K0_CO2 log10,0.0102436608974848
306,K0_H2O,P_CO2 log10,0.009229839373198325
163,VF,P_CH4,0.0090682275470851
434,Qst_CH4,K0_H2O log10,0.008821898842975854
385,P_CH4,DC_CO2 log10,0.008451160839627013
141,GSA (m2/g),Qst_H2O,0.008391012016089543
513,PV (cc/g) log10,P_CH4 log10,0.008274055986375269
550,DC_CH4 log10,P_H2S log10,0.007563202502672059
45,LCD,P_CH4,0.007541405087277705
543,K0_H2O log10,P_CH4 log10,0.007322776572428912
303,K0_H2O,DC_CO2 log10,0.007163840168944459
400,P_CO2,K0_H2S log10,0.007139509435095114
220,K0_CH4,Qst_CO2,0.0071232234429143846
409,P_H2S,Qst_CO2,0.007000912624621082
215,K0_CH4,DC_H2S,0.006891309861771201
506,PV (cc/g) log10,K0_CH4 log10,0.006809148706040205
269,K0_H2S,Qst_CO2,0.006759846799134724
427,Qst_CH4,Qst_H2O,0.006650535203623605
253,K0_CO2,K0_H2S log10,0.006547243885345479
119,VSA (m2/cc),K0_H2O log10,0.006511069284152398
329,DC_CH4,P_H2S log10,0.006445360747322765
106,VSA (m2/cc),P_CH4,0.006185437764785093
416,P_H2S,K0_CO2 log10,0.006020025474886576
423,P_H2S,P_CO2 log10,0.005989643315538352
393,P_CO2,Qst_H2S,0.0057745508081416316
401,P_CO2,K0_H2O log10,0.0056990956583287756
276,K0_H2S,K0_CO2 log10,0.005692184453407636
379,P_CH4,PV (cc/g) log10,0.005610196257690421
275,K0_H2S,K0_CH4 log10,0.005461115645928502
246,K0_CO2,Qst_H2S,0.005344510728237167
381,P_CH4,K0_CO2 log10,0.005302872648309509
254,K0_CO2,K0_H2O log10,0.005295638716060906
377,P_CH4,PLD log10,0.005015085030412571
283,K0_H2S,P_CO2 log10,0.004883214940777404
394,P_CO2,Qst_H2O,0.004861137134167176
278,K0_H2S,K0_H2O log10,0.004827237016810099
135,GSA (m2/g),P_CH4,0.004642306226192048
247,K0_CO2,Qst_H2O,0.00453557342589637
148,GSA (m2/g),K0_H2O log10,0.0044869334233759595
375,P_CH4,Qst_H2S,0.004444278410740712
13,PLD,P_CH4,0.00442765353508947
404,P_CO2,DC_H2S log10,0.0043471387747584245
418,P_H2S,K0_H2O log10,0.004343519873755663
271,K0_H2S,Qst_H2O,0.004105608187536924
549,DC_CH4 log10,P_CO2 log10,0.003884000272630315
257,K0_CO2,DC_H2S log10,0.0038715037695155946
415,P_H2S,K0_CH4 log10,0.0038009779777303052
190,PV (cc/g),P_CH4,0.003783410034766876
293,K0_H2O,Qst_H2S,0.0037079865559912027
411,P_H2S,Qst_H2O,0.0036599623535132227
231,K0_CH4,DC_CO2 log10,0.0036323529243070213
372,P_CH4,P_H2S,0.0033694793771405587
453,Qst_CO2,P_CH4 log10,0.0032623794585977077
280,K0_H2S,DC_CO2 log10,0.0030192778990120787
376,P_CH4,Qst_H2O,0.0029833193801468262
407,P_CO2,P_H2S log10,0.0028924057324056984
328,DC_CH4,P_CO2 log10,0.0028606918240953543
341,DC_CO2,K0_CH4 log10,0.002775284590724869
520,K0_CH4 log10,DC_CO2 log10,0.002770308881559398
152,GSA (m2/g),P_CH4 log10,0.0027368981216630847
260,K0_CO2,P_H2S log10,0.0027056026488664845
300,K0_H2O,K0_H2S log10,0.00270261808947621
420,P_H2S,DC_CO2 log10,0.0025424684069235946
72,Density (g/cc),K0_H2O,0.002511051110220937
383,P_CH4,K0_H2O log10,0.0024333982591366703
297,K0_H2O,PV (cc/g) log10,0.002230906780121367
256,K0_CO2,DC_CO2 log10,0.0022030027312920906
112,VSA (m2/cc),Qst_H2O,0.0021515896937518916
286,K0_H2O,DC_CO2,0.0021495171041179604
403,P_CO2,DC_CO2 log10,0.002133409451819427
281,K0_H2S,DC_H2S log10,0.002069088252966903
557,DC_H2S log10,P_H2S log10,0.0019593566449663787
304,K0_H2O,DC_H2S log10,0.001870679399363226
76,Density (g/cc),P_CH4,0.0018304241818171533
361,DC_H2S,K0_CH4 log10,0.0018251079397316764
467,Qst_H2S,P_CH4 log10,0.0017194494130393088
213,K0_CH4,DC_CH4,0.0016243490527653977
307,K0_H2O,P_H2S log10,0.0016226965370885974
282,K0_H2S,P_CH4 log10,0.001596483098406501
414,P_H2S,PV (cc/g) log10,0.0014424611980201276
374,P_CH4,Qst_CO2,0.0014124078853848553
298,K0_H2O,K0_CH4 log10,0.0013843231858407356
296,K0_H2O,LCD log10,0.0013379080331380956
78,Density (g/cc),P_H2S,0.00133614348199805
421,P_H2S,DC_H2S log10,0.0012144830083184747
108,VSA (m2/cc),P_H2S,0.0012124768868982596
71,Density (g/cc),K0_H2S,0.0011365476626391839
165,VF,P_H2S,0.001126568314395615
159,VF,K0_H2O,0.0011203434059160015
274,K0_H2S,PV (cc/g) log10,0.0011149011536785566
131,GSA (m2/g),K0_H2O,0.001081370503722176
186,PV (cc/g),K0_H2O,0.001015074598344228
93,Density (g/cc),P_CH4 log10,0.001014574361550657
102,VSA (m2/cc),K0_H2O,0.0009880965350769718
287,K0_H2O,DC_H2S,0.0008980217751784007
41,LCD,K0_H2O,0.0008909386297300387
295,K0_H2O,PLD log10,0.0008649471296746183
101,VSA (m2/cc),K0_H2S,0.0008575987270660696
305,K0_H2O,P_CH4 log10,0.0008303954677167218
158,VF,K0_H2S,0.0007717229791779553
107,VSA (m2/cc),P_CO2,0.0007663804170795045
137,GSA (m2/g),P_H2S,0.0007497054185551146
263,K0_H2S,DC_CO2,0.0007269403737249051
100,VSA (m2/cc),K0_CO2,0.000684749257269963
214,K0_CH4,DC_CO2,0.0006780592809200162
9,PLD,K0_H2O,0.0006717228187130578
332,DC_CO2,P_CO2,0.000637283604581911
239,K0_CO2,DC_CO2,0.0006079237093588824
212,K0_CH4,K0_H2O,0.0006055844286109742
192,PV (cc/g),P_H2S,0.0005844281137351782
268,K0_H2S,Qst_CH4,0.0005780775657969624
395,P_CO2,PLD log10,0.0005525491858361123
312,DC_CH4,P_H2S,0.0005517458760893199
264,K0_H2S,DC_H2S,0.0005369457398372411
130,GSA (m2/g),K0_H2S,0.0005332847398150897
352,DC_H2S,P_CO2,0.0005249259912277795
419,P_H2S,DC_CH4 log10,0.0005141287005407204
123,VSA (m2/cc),P_CH4 log10,0.0005036558462970653
218,K0_CH4,P_H2S,0.0004988784757133737
285,K0_H2O,DC_CH4,0.0004946643351129087
248,K0_CO2,PLD log10,0.0004926970494825575
240,K0_CO2,DC_H2S,0.00048415023486844786
422,P_H2S,P_CH4 log10,0.00046802276827956975
136,GSA (m2/g),P_CO2,0.0004328571502754515
185,PV (cc/g),K0_H2S,0.00042774347064993733
261,K0_H2S,K0_H2O,0.0004028947445863149
540,K0_H2O log10,DC_CH4 log10,0.0003887649040026365
129,GSA (m2/g),K0_CO2,0.00038766197977820906
14,PLD,P_CO2,0.0003577020292887116
397,P_CO2,PV (cc/g) log10,0.0003394506933559902
7,PLD,K0_CO2,0.00032062391702415883
333,DC_CO2,P_H2S,0.00031762679573593396
290,K0_H2O,P_H2S,0.0003040068288144552
396,P_CO2,LCD log10,0.0002970223984681187
272,K0_H2S,PLD log10,0.0002931603561563213
250,K0_CO2,PV (cc/g) log10,0.00027915443033954383
211,K0_CH4,K0_H2S,0.00027776937671829385
302,K0_H2O,DC_CH4 log10,0.000276705085182971
77,Density (g/cc),P_CO2,0.00025844601040282076
176,VF,K0_H2O log10,0.00024638183722409604
249,K0_CO2,LCD log10,0.0002371320795962389
164,VF,P_CO2,0.00023318896569098137
46,LCD,P_CO2,0.0002192716805971773
279,K0_H2S,DC_CH4 log10,0.00021834230826032214
232,K0_CH4,DC_H2S log10,0.00021707742614673
191,PV (cc/g),P_CO2,0.00021431993050899178
521,K0_CH4 log10,DC_H2S log10,0.0002066699476660438
157,VF,K0_CO2,0.00020113432419858324
70,Density (g/cc),K0_CO2,0.00019473405752290062
